"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-06","Jun-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-07","Jul-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,827,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-08","Aug-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,917,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-09","Sep-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,838,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-10","Oct-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,887,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-11","Nov-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,882,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-12","Dec-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,814,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-01","Jan-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,858,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-02","Feb-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,927,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-03","Mar-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,979,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-04","Apr-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,998,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-05","May-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,943,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-06","Jun-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,875,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-07","Jul-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,922,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-08","Aug-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,924,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-09","Sep-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,945,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-10","Oct-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,979,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-11","Nov-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2008-12","Dec-2008","TONNEKM","Tonnes-kilometres","6","Millions",,,618,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-01","Jan-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,588,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-02","Feb-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,634,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-03","Mar-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,720,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-04","Apr-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,678,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-05","May-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,718,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-06","Jun-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,628,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-07","Jul-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,696,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-08","Aug-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,710,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-09","Sep-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,855,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-10","Oct-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,916,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-11","Nov-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,895,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2009-12","Dec-2009","TONNEKM","Tonnes-kilometres","6","Millions",,,834,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-01","Jan-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,720,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-02","Feb-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,691,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-03","Mar-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,729,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-04","Apr-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,823,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-05","May-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,870,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-06","Jun-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,843,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-07","Jul-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,830,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-08","Aug-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,891,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-09","Sep-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-10","Oct-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,847,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-11","Nov-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,889,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2010-12","Dec-2010","TONNEKM","Tonnes-kilometres","6","Millions",,,808,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-01","Jan-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,684,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-02","Feb-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,684,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-03","Mar-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,759,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-04","Apr-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,757,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-05","May-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,890,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-06","Jun-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,790,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-07","Jul-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,792,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-08","Aug-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,844,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-09","Sep-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,798,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-10","Oct-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,733,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-11","Nov-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,871,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2011-12","Dec-2011","TONNEKM","Tonnes-kilometres","6","Millions",,,794,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2012-01","Jan-2012","TONNEKM","Tonnes-kilometres","6","Millions",,,698,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2012-02","Feb-2012","TONNEKM","Tonnes-kilometres","6","Millions",,,713,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2012-03","Mar-2012","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
